pipeline_event_id,candidate_id,req_id,source_channel,stage_reached,stage_entry_timestamp,recruiter_id
5bf158b8,CAND_100000,REQ_2013,Tesla Careers Site,Applied,2025-06-07 00:00:00,REC_101
54aa2ae3,CAND_100001,REQ_2029,LinkedIn,Applied,2025-06-05 00:00:00,REC_104
f5c18d08,CAND_100002,REQ_2001,LinkedIn,Applied,2025-02-13 00:00:00,REC_101
8b05e8ca,CAND_100002,REQ_2001,LinkedIn,Phone Screen,2025-02-22 00:00:00,REC_101
870c68b4,CAND_100002,REQ_2001,LinkedIn,Technical Interview,2025-03-05 00:00:00,REC_101
c7f32e53,CAND_100002,REQ_2001,LinkedIn,Offer Issued,2025-03-16 00:00:00,REC_101
8585b11f,CAND_100003,REQ_2049,X (Twitter) Sourcing,Applied,2025-02-18 00:00:00,REC_100
beab33c7,CAND_100003,REQ_2049,X (Twitter) Sourcing,Phone Screen,2025-02-25 00:00:00,REC_100
5d200cd5,CAND_100003,REQ_2049,X (Twitter) Sourcing,Technical Interview,2025-03-03 00:00:00,REC_100
f2570410,CAND_100003,REQ_2049,X (Twitter) Sourcing,Offer Issued,2025-03-07 00:00:00,REC_100
ad35784b,CAND_100004,REQ_2035,Employee Referral,Applied,2025-03-15 00:00:00,REC_104
2f80a1c2,CAND_100005,REQ_2035,X (Twitter) Sourcing,Applied,2025-03-06 00:00:00,REC_100
039e132b,CAND_100005,REQ_2035,X (Twitter) Sourcing,Phone Screen,2025-03-12 00:00:00,REC_100
ea015136,CAND_100005,REQ_2035,X (Twitter) Sourcing,Technical Interview,2025-03-18 00:00:00,REC_100
92e1b5af,CAND_100005,REQ_2035,X (Twitter) Sourcing,Offer Issued,2025-03-29 00:00:00,REC_100
ff6a7b8c,CAND_100006,REQ_2008,LinkedIn,Applied,2025-04-27 00:00:00,REC_102
4c48c332,CAND_100006,REQ_2008,LinkedIn,Phone Screen,2025-04-29 00:00:00,REC_102
f9543709,CAND_100007,REQ_2004,LinkedIn,Applied,2025-04-30 00:00:00,REC_103
782d9d11,CAND_100007,REQ_2004,LinkedIn,Phone Screen,2025-05-04 00:00:00,REC_103
821f659a,CAND_100007,REQ_2004,LinkedIn,Technical Interview,2025-05-17 00:00:00,REC_103
7eb87455,CAND_100008,REQ_2034,Employee Referral,Applied,2025-03-14 00:00:00,REC_103
e394bcec,CAND_100008,REQ_2034,Employee Referral,Phone Screen,2025-03-24 00:00:00,REC_103
5c4d0c34,CAND_100009,REQ_2044,LinkedIn,Applied,2025-02-18 00:00:00,REC_101
393834c5,CAND_100009,REQ_2044,LinkedIn,Phone Screen,2025-03-02 00:00:00,REC_101
f96046ef,CAND_100009,REQ_2044,LinkedIn,Technical Interview,2025-03-05 00:00:00,REC_101
117c803a,CAND_100009,REQ_2044,LinkedIn,Offer Issued,2025-03-12 00:00:00,REC_101
93658bef,CAND_100010,REQ_2021,Tesla Careers Site,Applied,2025-06-20 00:00:00,REC_103
9b8b6c80,CAND_100010,REQ_2021,Tesla Careers Site,Phone Screen,2025-06-24 00:00:00,REC_103
281e99bf,CAND_100010,REQ_2021,Tesla Careers Site,Technical Interview,2025-07-02 00:00:00,REC_103
78b79924,CAND_100010,REQ_2021,Tesla Careers Site,Offer Issued,2025-07-04 00:00:00,REC_103
4afb092b,CAND_100011,REQ_2041,LinkedIn,Applied,2025-02-26 00:00:00,REC_102
1b2bebc0,CAND_100012,REQ_2047,LinkedIn,Applied,2025-04-09 00:00:00,REC_100
c6fcfa2d,CAND_100013,REQ_2033,LinkedIn,Applied,2025-03-10 00:00:00,REC_100
